,routeid,routestring,weight_of_route,route_flow,order
4,7978792,BGR,9.5,RUSBLR,5
4,7978792,ROU,9.5,RUSBLR,6
4,7978792,UKR,9.5,RUSBLR,7
4,7978792,BLR,9.5,RUSBLR,8
5,7978568,RUS,10.25,RUSBLR,1
5,7978568,AZE,10.25,RUSBLR,2
5,7978568,TUR,10.25,RUSBLR,3
5,7978568,BGR,10.25,RUSBLR,4
5,7978568,SRB,10.25,RUSBLR,5
5,7978568,HUN,10.25,RUSBLR,6
5,7978568,UKR,10.25,RUSBLR,7
5,7978568,BLR,10.25,RUSBLR,8
6,7978411,RUS,10.5,RUSBLR,1
6,7978411,AZE,10.5,RUSBLR,2
6,7978411,TUR,10.5,RUSBLR,3
6,7978411,BGR,10.5,RUSBLR,4
6,7978411,ROU,10.5,RUSBLR,5
6,7978411,MDA,10.5,RUSBLR,6
6,7978411,UKR,10.5,RUSBLR,7
6,7978411,BLR,10.5,RUSBLR,8
7,7978410,RUS,9.25,RUSBLR,1
7,7978410,AZE,9.25,RUSBLR,2
7,7978410,TUR,9.25,RUSBLR,3
7,7978410,BGR,9.25,RUSBLR,4
7,7978410,ROU,9.25,RUSBLR,5
7,7978410,HUN,9.25,RUSBLR,6
7,7978410,UKR,9.25,RUSBLR,7
7,7978410,BLR,9.25,RUSBLR,8
8,7977989,RUS,12.0,RUSBLR,1
8,7977989,AZE,12.0,RUSBLR,2
8,7977989,GEO,12.0,RUSBLR,3
8,7977989,TUR,12.0,RUSBLR,4
8,7977989,BGR,12.0,RUSBLR,5
8,7977989,ROU,12.0,RUSBLR,6
8,7977989,MDA,12.0,RUSBLR,7
8,7977989,UKR,12.0,RUSBLR,8
8,7977989,BLR,12.0,RUSBLR,9
9,7978065,RUS,12.0,RUSBLR,1
9,7978065,AZE,12.0,RUSBLR,2
9,7978065,GEO,12.0,RUSBLR,3
9,7978065,TUR,12.0,RUSBLR,4
9,7978065,BGR,12.0,RUSBLR,5
9,7978065,SRB,12.0,RUSBLR,6
9,7978065,ROU,12.0,RUSBLR,7
9,7978065,UKR,12.0,RUSBLR,8
9,7978065,BLR,12.0,RUSBLR,9
9,8012535,RUS,5.5,RUSITA,1
9,8012535,BLR,5.5,RUSITA,2
9,8012535,UKR,5.5,RUSITA,3
9,8012535,SVK,5.5,RUSITA,4
9,8012535,AUT,5.5,RUSITA,5
9,8012535,ITA,5.5,RUSITA,6
1,8042824,RUS,6.5,RUSMDA,1
1,8042824,BLR,6.5,RUSMDA,2
1,8042824,UKR,6.5,RUSMDA,3
1,8042824,MDA,6.5,RUSMDA,4
3,8047797,RUS,6.75,RUSMDA,1
3,8047797,LTU,6.75,RUSMDA,2
3,8047797,BLR,6.75,RUSMDA,3
3,8047797,UKR,6.75,RUSMDA,4
3,8047797,MDA,6.75,RUSMDA,5
4,8045730,RUS,6.75,RUSMDA,1
4,8045730,LVA,6.75,RUSMDA,2
4,8045730,BLR,6.75,RUSMDA,3
4,8045730,UKR,6.75,RUSMDA,4
4,8045730,MDA,6.75,RUSMDA,5
7,8042082,RUS,6.75,RUSMDA,1
7,8042082,BLR,6.75,RUSMDA,2
7,8042082,POL,6.75,RUSMDA,3
7,8042082,UKR,6.75,RUSMDA,4
7,8042082,MDA,6.75,RUSMDA,5
8,8050450,RUS,6.75,RUSMDA,1
8,8050450,POL,6.75,RUSMDA,2
8,8050450,BLR,6.75,RUSMDA,3
8,8050450,UKR,6.75,RUSMDA,4
8,8050450,MDA,6.75,RUSMDA,5
8,8063568,RUS,8.5,RUSMKD,1
8,8063568,BLR,8.5,RUSMKD,2
8,8063568,UKR,8.5,RUSMKD,3
8,8063568,ROU,8.5,RUSMKD,4
8,8063568,SRB,8.5,RUSMKD,5
8,8063568,MKD,8.5,RUSMKD,6
3,8091201,RUS,7.0,RUSSRB,1
3,8091201,BLR,7.0,RUSSRB,2
3,8091201,UKR,7.0,RUSSRB,3
3,8091201,ROU,7.0,RUSSRB,4
3,8091201,SRB,7.0,RUSSRB,5
9,8090554,RUS,6.75,RUSSRB,1
9,8090554,BLR,6.75,RUSSRB,2
9,8090554,UKR,6.75,RUSSRB,3
9,8090554,HUN,6.75,RUSSRB,4
9,8090554,SRB,6.75,RUSSRB,5
7,8112028,RUS,7.5,RUSTUR,1
7,8112028,BLR,7.5,RUSTUR,2
7,8112028,UKR,7.5,RUSTUR,3
7,8112028,ROU,7.5,RUSTUR,4
7,8112028,BGR,7.5,RUSTUR,5
7,8112028,TUR,7.5,RUSTUR,6
2,8142843,RUS,5.0,RUSUKR,1
2,8142843,BLR,5.0,RUSUKR,2
2,8142843,UKR,5.0,RUSUKR,3
3,8146729,RUS,5.25,RUSUKR,1
3,8146729,LTU,5.25,RUSUKR,2
3,8146729,BLR,5.25,RUSUKR,3
3,8146729,UKR,5.25,RUSUKR,4
5,8145270,RUS,5.25,RUSUKR,1
5,8145270,LVA,5.25,RUSUKR,2
5,8145270,BLR,5.25,RUSUKR,3
5,8145270,UKR,5.25,RUSUKR,4
7,8148645,RUS,5.25,RUSUKR,1
7,8148645,POL,5.25,RUSUKR,2
7,8148645,BLR,5.25,RUSUKR,3
7,8148645,UKR,5.25,RUSUKR,4
8,8142842,RUS,5.25,RUSUKR,1
8,8142842,BLR,5.25,RUSUKR,2
8,8142842,POL,5.25,RUSUKR,3
8,8142842,UKR,5.25,RUSUKR,4
9,8146728,RUS,5.5,RUSUKR,1
9,8146728,LTU,5.5,RUSUKR,2
9,8146728,BLR,5.5,RUSUKR,3
9,8146728,POL,5.5,RUSUKR,4
9,8146728,UKR,5.5,RUSUKR,5
6,8224331,UKR,3.5,UKRAUT,1
6,8224331,BLR,3.5,UKRAUT,2
6,8224331,POL,3.5,UKRAUT,3
6,8224331,DEU,3.5,UKRAUT,4
6,8224331,AUT,3.5,UKRAUT,5
7,8224330,UKR,3.75,UKRAUT,1
7,8224330,BLR,3.75,UKRAUT,2
7,8224330,POL,3.75,UKRAUT,3
7,8224330,CZE,3.75,UKRAUT,4
7,8224330,AUT,3.75,UKRAUT,5
9,8224432,UKR,3.75,UKRAUT,1
9,8224432,BLR,3.75,UKRAUT,2
9,8224432,POL,3.75,UKRAUT,3
9,8224432,SVK,3.75,UKRAUT,4
9,8224432,AUT,3.75,UKRAUT,5
9,8229465,UKR,8.5,UKRBGR,1
9,8229465,BLR,8.5,UKRBGR,2
9,8229465,RUS,8.5,UKRBGR,3
9,8229465,AZE,8.5,UKRBGR,4
9,8229465,TUR,8.5,UKRBGR,5
9,8229465,BGR,8.5,UKRBGR,6
0,8264763,UKR,3.25,UKRBLR,1
0,8264763,BLR,3.25,UKRBLR,2
6,8264964,UKR,3.75,UKRCZE,1
6,8264964,BLR,3.75,UKRCZE,2
6,8264964,POL,3.75,UKRCZE,3
6,8264964,CZE,3.75,UKRCZE,4
2,8269524,UKR,3.5,UKRDEU,1
2,8269524,BLR,3.5,UKRDEU,2
2,8269524,POL,3.5,UKRDEU,3
2,8269524,DEU,3.5,UKRDEU,4
2,8277083,UKR,6.5,UKRGEO,1
2,8277083,BLR,6.5,UKRGEO,2
2,8277083,RUS,6.5,UKRGEO,3
2,8277083,GEO,6.5,UKRGEO,4
4,8276483,UKR,6.75,UKRGEO,1
4,8276483,BLR,6.75,UKRGEO,2
4,8276483,POL,6.75,UKRGEO,3
4,8276483,RUS,6.75,UKRGEO,4
4,8276483,GEO,6.75,UKRGEO,5
5,8283130,UKR,6.75,UKRGEO,1
5,8283130,POL,6.75,UKRGEO,2
5,8283130,BLR,6.75,UKRGEO,3
5,8283130,RUS,6.75,UKRGEO,4
5,8283130,GEO,6.75,UKRGEO,5
9,8274848,UKR,6.75,UKRGEO,1
9,8274848,BLR,6.75,UKRGEO,2
9,8274848,LVA,6.75,UKRGEO,3
9,8274848,RUS,6.75,UKRGEO,4
9,8274848,GEO,6.75,UKRGEO,5
1,8322392,UKR,4.0,UKRHUN,1
1,8322392,BLR,4.0,UKRHUN,2
1,8322392,POL,4.0,UKRHUN,3
1,8322392,SVK,4.0,UKRHUN,4
1,8322392,HUN,4.0,UKRHUN,5
2,8322883,UKR,5.75,UKRHUN,1
2,8322883,BLR,5.75,UKRHUN,2
2,8322883,RUS,5.75,UKRHUN,3
2,8322883,POL,5.75,UKRHUN,4
2,8322883,SVK,5.75,UKRHUN,5
2,8322883,HUN,5.75,UKRHUN,6
3,8322328,UKR,4.0,UKRHUN,1
3,8322328,BLR,4.0,UKRHUN,2
3,8322328,POL,4.0,UKRHUN,3
3,8322328,SVK,4.0,UKRHUN,4
3,8322328,AUT,4.0,UKRHUN,5
3,8322328,HUN,4.0,UKRHUN,6
4,8321960,UKR,4.0,UKRHUN,1
4,8321960,BLR,4.0,UKRHUN,2
4,8321960,POL,4.0,UKRHUN,3
4,8321960,CZE,4.0,UKRHUN,4
4,8321960,AUT,4.0,UKRHUN,5
4,8321960,HUN,4.0,UKRHUN,6
5,8322060,UKR,3.75,UKRHUN,1
5,8322060,BLR,3.75,UKRHUN,2
5,8322060,POL,3.75,UKRHUN,3
5,8322060,DEU,3.75,UKRHUN,4
5,8322060,AUT,3.75,UKRHUN,5
5,8322060,HUN,3.75,UKRHUN,6
6,8322058,UKR,4.25,UKRHUN,1
6,8322058,BLR,4.25,UKRHUN,2
6,8322058,POL,4.25,UKRHUN,3
6,8322058,CZE,4.25,UKRHUN,4
6,8322058,SVK,4.25,UKRHUN,5
6,8322058,HUN,4.25,UKRHUN,6
7,8321769,UKR,4.25,UKRHUN,1
7,8321769,BLR,4.25,UKRHUN,2
7,8321769,LTU,4.25,UKRHUN,3
7,8321769,POL,4.25,UKRHUN,4
7,8321769,SVK,4.25,UKRHUN,5
7,8321769,HUN,4.25,UKRHUN,6
8,8321961,UKR,4.0,UKRHUN,1
8,8321961,BLR,4.0,UKRHUN,2
8,8321961,POL,4.0,UKRHUN,3
8,8321961,CZE,4.0,UKRHUN,4
8,8321961,DEU,4.0,UKRHUN,5
8,8321961,AUT,4.0,UKRHUN,6
8,8321961,HUN,4.0,UKRHUN,7
9,8321615,UKR,4.0,UKRHUN,1
9,8321615,BLR,4.0,UKRHUN,2
9,8321615,LTU,4.0,UKRHUN,3
9,8321615,POL,4.0,UKRHUN,4
9,8321615,DEU,4.0,UKRHUN,5
9,8321615,AUT,4.0,UKRHUN,6
9,8321615,HUN,4.0,UKRHUN,7
2,8340588,UKR,6.75,UKRKAZ,1
2,8340588,BLR,6.75,UKRKAZ,2
2,8340588,RUS,6.75,UKRKAZ,3
2,8340588,KAZ,6.75,UKRKAZ,4
4,8337950,UKR,7.0,UKRKAZ,1
4,8337950,BLR,7.0,UKRKAZ,2
4,8337950,LVA,7.0,UKRKAZ,3
4,8337950,RUS,7.0,UKRKAZ,4
4,8337950,KAZ,7.0,UKRKAZ,5
5,8347256,UKR,7.0,UKRKAZ,1
5,8347256,POL,7.0,UKRKAZ,2
5,8347256,BLR,7.0,UKRKAZ,3
5,8347256,RUS,7.0,UKRKAZ,4
5,8347256,KAZ,7.0,UKRKAZ,5
7,8338650,UKR,7.0,UKRKAZ,1
7,8338650,BLR,7.0,UKRKAZ,2
7,8338650,LTU,7.0,UKRKAZ,3
7,8338650,RUS,7.0,UKRKAZ,4
7,8338650,KAZ,7.0,UKRKAZ,5
8,8339775,UKR,7.0,UKRKAZ,1
8,8339775,BLR,7.0,UKRKAZ,2
8,8339775,POL,7.0,UKRKAZ,3
8,8339775,RUS,7.0,UKRKAZ,4
8,8339775,KAZ,7.0,UKRKAZ,5
9,8337887,UKR,7.25,UKRKAZ,1
9,8337887,BLR,7.25,UKRKAZ,2
9,8337887,LVA,7.25,UKRKAZ,3
9,8337887,LTU,7.25,UKRKAZ,4
9,8337887,RUS,7.25,UKRKAZ,5
9,8337887,KAZ,7.25,UKRKAZ,6
1,8362511,UKR,3.5,UKRLTU,1
1,8362511,BLR,3.5,UKRLTU,2
1,8362511,LTU,3.5,UKRLTU,3
3,8362510,UKR,3.75,UKRLTU,1
3,8362510,BLR,3.75,UKRLTU,2
3,8362510,LVA,3.75,UKRLTU,3
3,8362510,LTU,3.75,UKRLTU,4
6,8368068,UKR,3.75,UKRLTU,1
6,8368068,POL,3.75,UKRLTU,2
6,8368068,BLR,3.75,UKRLTU,3
6,8368068,LTU,3.75,UKRLTU,4
7,8374826,UKR,5.25,UKRLTU,1
7,8374826,RUS,5.25,UKRLTU,2
7,8374826,BLR,5.25,UKRLTU,3
7,8374826,LTU,5.25,UKRLTU,4
8,8374825,UKR,5.5,UKRLTU,1
8,8374825,RUS,5.5,UKRLTU,2
8,8374825,BLR,5.5,UKRLTU,3
8,8374825,LVA,5.5,UKRLTU,4
8,8374825,LTU,5.5,UKRLTU,5
9,8368067,UKR,4.0,UKRLTU,1
9,8368067,POL,4.0,UKRLTU,2
9,8368067,BLR,4.0,UKRLTU,3
9,8368067,LVA,4.0,UKRLTU,4
9,8368067,LTU,4.0,UKRLTU,5
9,8382623,UKR,6.0,UKRMDA,1
9,8382623,BLR,6.0,UKRMDA,2
9,8382623,POL,6.0,UKRMDA,3
9,8382623,SVK,6.0,UKRMDA,4
9,8382623,HUN,6.0,UKRMDA,5
9,8382623,ROU,6.0,UKRMDA,6
9,8382623,MDA,6.0,UKRMDA,7
1,8413958,UKR,3.5,UKRPOL,1
1,8413958,BLR,3.5,UKRPOL,2
1,8413958,POL,3.5,UKRPOL,3
3,8413957,UKR,3.75,UKRPOL,1
3,8413957,BLR,3.75,UKRPOL,2
3,8413957,LTU,3.75,UKRPOL,3
3,8413957,POL,3.75,UKRPOL,4
6,8413860,UKR,4.0,UKRPOL,1
6,8413860,BLR,4.0,UKRPOL,2
6,8413860,LVA,4.0,UKRPOL,3
6,8413860,LTU,4.0,UKRPOL,4
6,8413860,POL,4.0,UKRPOL,5
7,8413924,UKR,5.5,UKRPOL,1
7,8413924,BLR,5.5,UKRPOL,2
7,8413924,LVA,5.5,UKRPOL,3
7,8413924,RUS,5.5,UKRPOL,4
7,8413924,POL,5.5,UKRPOL,5
1,8420950,UKR,3.75,UKRPRT,1
1,8420950,BLR,3.75,UKRPRT,2
1,8420950,POL,3.75,UKRPRT,3
1,8420950,DEU,3.75,UKRPRT,4
1,8420950,FRA,3.75,UKRPRT,5
1,8420950,ESP,3.75,UKRPRT,6
1,8420950,PRT,3.75,UKRPRT,7
2,8450421,UKR,5.0,UKRRUS,1
2,8450421,BLR,5.0,UKRRUS,2
2,8450421,RUS,5.0,UKRRUS,3
4,8449001,UKR,5.25,UKRRUS,1
4,8449001,BLR,5.25,UKRRUS,2
4,8449001,LVA,5.25,UKRRUS,3
4,8449001,RUS,5.25,UKRRUS,4
5,8456121,UKR,5.25,UKRRUS,1
5,8456121,POL,5.25,UKRRUS,2
5,8456121,BLR,5.25,UKRRUS,3
5,8456121,RUS,5.25,UKRRUS,4
6,8449391,UKR,5.25,UKRRUS,1
6,8449391,BLR,5.25,UKRRUS,2
6,8449391,LTU,5.25,UKRRUS,3
6,8449391,RUS,5.25,UKRRUS,4
7,8450420,UKR,5.25,UKRRUS,1
7,8450420,BLR,5.25,UKRRUS,2
7,8450420,POL,5.25,UKRRUS,3
7,8450420,RUS,5.25,UKRRUS,4
8,8449000,UKR,5.5,UKRRUS,1
8,8449000,BLR,5.5,UKRRUS,2
8,8449000,LVA,5.5,UKRRUS,3
8,8449000,LTU,5.5,UKRRUS,4
8,8449000,RUS,5.5,UKRRUS,5
9,8449003,UKR,5.5,UKRRUS,1
9,8449003,BLR,5.5,UKRRUS,2
9,8449003,LTU,5.5,UKRRUS,3
9,8449003,LVA,5.5,UKRRUS,4
9,8449003,RUS,5.5,UKRRUS,5
6,8481189,UKR,8.0,UKRTUR,1
6,8481189,BLR,8.0,UKRTUR,2
6,8481189,RUS,8.0,UKRTUR,3
6,8481189,GEO,8.0,UKRTUR,4
6,8481189,TUR,8.0,UKRTUR,5
8,8481173,UKR,8.0,UKRTUR,1
8,8481173,BLR,8.0,UKRTUR,2
8,8481173,RUS,8.0,UKRTUR,3
8,8481173,AZE,8.0,UKRTUR,4
8,8481173,TUR,8.0,UKRTUR,5
